material_label,paper_category,wavelength_um,emissivity,reflectivity,source_file
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.2884,0.9772,0.0228,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.2552,0.97404,0.02596,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.2223,0.9744,0.0256,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.1896,0.97505,0.02495,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.1571,0.97564,0.02436,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.1249,0.97528,0.02472,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.0929,0.97334,0.02666,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.0611,0.97579,0.02421,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.0295,0.97486,0.02514,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.9982,0.97534,0.02466,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.967,0.97596,0.02404,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.9361,0.97767,0.02233,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.9054,0.97856,0.02144,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.8749,0.97948,0.02052,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.8446,0.97928,0.02072,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.8145,0.98077,0.01923,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.7846,0.98136,0.01864,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.755,0.98253,0.01747,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.7255,0.98192,0.01808,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.6962,0.9815,0.0185,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.6671,0.98172,0.01828,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.6382,0.98223,0.01777,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.6095,0.98491,0.01509,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.581,0.98436,0.01564,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.5527,0.98378,0.01622,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.5246,0.9861,0.0139,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.4966,0.98386,0.01614,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.4688,0.98514,0.01486,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.4413,0.98551,0.01449,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.4139,0.98573,0.01427,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.3866,0.98539,0.01461,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.3596,0.98442,0.01558,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.3327,0.98636,0.01364,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.306,0.98553,0.01447,alumdisk.prn
